ISO,Sector,Gas,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
WORLD,Electricity/Heat,All GHG,16688.42,16447.75,15323.08,15843.06,15901.34,15480.49,15134.08,15126.68,15393.11,15449.07,15154.39,14857.74,14236.95,13330.54,13545.46,13518.63,12955.18,12451.38,12076.46,11691.14,11072.27,10886.64,10628.24,10226.32,10163.84,9937.03,9662.55,9296.41,9105.35,9003.81,8953.47,8796.23,8653.37
WORLD,Transportation,All GHG,8151.42,7853.2,7283,8497.7,8478.33,8281.72,8085.15,7929.36,7691.06,7565.04,7374.23,7314.2,7197.42,6903.1,7044.04,7038.06,6824.66,6668.92,6524.11,6235.61,6107.43,5951.44,5921.01,5738.55,5574.08,5447.53,5369.33,5159.12,5021.55,4923.23,4880.23,4772.1,4733.71
WORLD,Manufacturing/Construction,All GHG,6303.94,6349.21,6202.69,6248.09,6207.16,6080.37,6159.11,6316.92,6433.66,6365.14,6363.01,6339.47,6110.09,5548.93,5559.44,5452,5171.55,4935.81,4514.42,4085.93,3893.32,3881.54,3859.55,3703.74,3861,3862.91,3838.82,3956.48,3732.51,3719.1,3770.69,3900,3978.52
WORLD,Agriculture,All GHG,5905.6,5907.3,5864.09,5755.54,5764.88,5786.64,5702.42,5664.03,5643.37,5590.12,5646.84,5625.41,5493.37,5433.62,5434.08,5427.33,5348.52,5287.64,5250.5,5142.2,5146.03,5085.88,5079.25,5083.54,5026.74,4971.58,5043.58,5011.93,4957.55,4913.93,4945.25,4961.6,4976.48
WORLD,Industrial Processes,All GHG,3208.24,3230.07,3120.53,3062.1,2947.46,2854.04,2783.29,2689.34,2689.22,2576.16,2456.5,2375.86,2225.68,2087.23,2039.44,1998.46,1869.44,1744.77,1642.98,1561.64,1467.76,1415.41,1390,1331.51,1323.6,1319.09,1270.33,1218.19,1145.75,1037.06,1019.75,1004.16,1001.27
WORLD,Building,All GHG,3200.94,3262.8,3222.24,3273.45,3318.54,3288.77,3219.43,3193.96,3171.21,3224.29,3116.73,3183.93,3244.86,3193.7,3249.61,3191.22,3205.06,3235.09,3236.04,3195.66,3108.86,3107.46,3090.95,3109.82,3036.5,3190.05,3207.43,3142.48,3063.17,3148.18,3078.98,3186.93,3157.37
WORLD,Fugitive Emissions,All GHG,3060.79,2996.93,2913.17,3160.24,3121.19,3054.15,3040.27,3104.56,3136.9,3118.22,3123.39,3114.76,3039.69,2947.59,3013.28,2992.02,2958.15,2936.36,2819.68,2739.23,2584.51,2609.36,2584.57,2466.99,2494.16,2510.45,2494.28,2430.74,2352.61,2352.97,2337.65,2391.9,2367.04
WORLD,Waste,All GHG,1701.84,1677.36,1652.87,1629.87,1606.86,1583.86,1560.85,1543.59,1514.26,1484.04,1476.63,1467.31,1465.13,1454.29,1446.93,1441.86,1433.85,1422.66,1431.88,1443.66,1447.97,1452.91,1466.76,1464.47,1466.28,1474.36,1478.31,1476.51,1470.96,1444.39,1418.28,1395.18,1364.4
WORLD,Land-Use Change and Forestry,All GHG,1298.76,1344.57,1396.85,1796.97,1522.03,1359.61,1404.18,920.42,885.86,538.69,591.16,558.86,1649.4,1961.98,1570.49,1626.23,2149.39,1789.26,2068.3,1699.88,2002.64,1486.7,1786.59,1935.22,2126.31,2796.53,1827.03,2030.42,2024.81,2025.14,2024.71,2024.71,2024.71
WORLD,Bunker Fuels,All GHG,1141.44,993.11,940.33,1330.24,1338.15,1309.14,1252.13,1207.98,1154.68,1118.9,1112.92,1156.32,1141.87,1069.26,1123.76,1115.46,1063.98,1010.98,965.15,878.84,872.96,834.05,866.67,841.45,799.44,774.87,749.1,728.44,702.06,675.74,683.46,645.74,637.89
WORLD,Other Fuel Combustion,All GHG,603.03,587.76,588.09,600.63,625.86,641.73,636.33,637.59,638.83,643.46,631.07,619.86,624.47,611.5,650.74,629.54,627.42,617.51,592.07,557.02,537.54,535.71,523.51,581.52,572.35,595.85,547.31,620.1,668.8,698.66,686.4,770.86,770.13
