count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
9221,20.8,-157.0,21.3,-157.9
4296,34.2,-118.5,36.1,-115.2
3157,48.4,-89.3,50.1,-91.9
2785,33.7,-117.9,36.1,-115.2
2434,26.7,-80.1,41.1,-73.7
2387,26.7,-80.1,40.9,-74.1
2271,40.9,-74.1,42.5,-71.3
2203,51.1,-114.0,53.3,-113.6
2187,40.9,-74.1,41.1,-73.7
2179,46.2,6.1,49.0,2.4
2146,34.2,-118.5,37.4,-121.9
2118,25.9,-80.3,40.9,-74.1
2026,53.3,-113.6,55.2,-118.9
1988,25.9,-80.3,28.0,-82.5
1960,34.2,-118.4,37.4,-121.9
1924,42.4,-71.0,44.9,-74.8
1921,33.9,-118.4,36.1,-115.2
1892,37.0,-113.5,40.8,-112.0
1858,41.1,-73.7,41.4,-70.6
1827,40.9,-74.1,42.4,-71.0
1794,25.9,-80.3,26.7,-80.1
1746,45.5,-73.4,46.8,-71.4
1724,26.7,-80.1,40.8,-74.1
1720,25.9,-100.2,25.9,-97.4
1716,33.6,-111.9,33.7,-117.9
1709,40.8,-74.1,41.1,-73.7
1694,40.8,-74.1,42.5,-71.3
1694,41.8,12.6,45.4,9.3
1670,29.6,-95.3,30.2,-97.7
1645,33.6,-111.9,36.1,-115.2
1616,-23.6,-46.7,-15.9,-47.9
1605,33.7,-117.9,34.2,-118.5
1575,25.9,-80.3,40.8,-74.1
1552,-27.4,153.1,-23.4,150.5
1526,50.0,-110.7,51.1,-114.0
1512,34.2,-118.5,40.9,-74.1
1488,40.1,-83.1,42.1,-87.9
1485,41.1,-73.7,42.5,-71.3
1482,41.1,-73.7,41.2,-70.1
1466,34.2,-118.5,37.6,-122.4
1465,33.6,-111.9,34.2,-118.5
1424,39.2,-106.9,39.6,-104.9
1368,46.6,-120.5,47.5,-122.3
1360,33.6,-86.8,33.9,-84.3
1342,25.8,-80.3,26.7,-80.1
1342,38.9,-77.4,40.9,-74.1
1339,40.8,-74.1,42.4,-71.0
1338,43.7,7.2,46.2,6.1
1334,34.2,-118.5,37.7,-122.2
1331,35.8,-84.0,36.1,-86.7
1331,40.9,-74.1,43.7,-79.6
1328,29.5,-98.5,29.6,-95.3
1319,-37.7,144.9,-34.2,142.1
1315,34.2,-118.4,36.1,-115.2
1313,39.1,-108.5,39.6,-104.9
1310,43.7,7.2,49.0,2.4
1299,-23.6,-46.7,-22.9,-43.2
1288,40.8,-115.8,40.8,-112.0
1262,-32.1,115.9,-30.8,121.5
1240,43.7,-79.6,45.5,-73.7
1219,49.2,-123.2,53.9,-122.7
1210,33.6,-111.9,39.6,-104.9
1192,18.0,-62.9,18.4,-66.0
1191,17.9,-63.0,18.4,-66.0
