count,pt1_lat,pt1_lon,pt2_lat,pt2_lon
14899,39.5517,2.73881,41.2971,2.07846
13445,60.1939,11.1004,60.2934,5.21814
13295,43.6291,1.36382,48.7231,2.35944
12796,39.5517,2.73881,40.4719,-3.56264
11364,40.4719,-3.56264,41.2971,2.07846
10845,38.8729,1.37312,39.5517,2.73881
10812,38.7813,-9.13592,40.4719,-3.56264
10524,43.6584,7.21587,48.7231,2.35944
10333,55.6179,12.656,60.1939,11.1004
10112,51.4775,-0.461389,53.4213,-6.27007
9939,55.9728,37.4147,59.8003,30.2625
9892,55.6179,12.656,57.0928,9.84924
9662,51.4775,-0.461389,52.3086,4.76389
8773,48.3538,11.7861,53.6304,9.98823
8764,55.6179,12.656,59.6519,17.9186
8500,50.0333,8.57056,51.4775,-0.461389
8468,48.3538,11.7861,51.2895,6.76678
8399,59.6519,17.9186,60.3172,24.9633
8189,52.3086,4.76389,55.6179,12.656
8051,59.6519,17.9186,60.1939,11.1004
8027,51.1481,-0.190278,53.4213,-6.27007
8009,52.3086,4.76389,53.4213,-6.27007
7912,41.2971,2.07846,52.3086,4.76389
7911,40.4719,-3.56264,48.7231,2.35944
7823,39.5517,2.73881,51.2895,6.76678
7813,50.0333,8.57056,52.3514,13.4939
7694,38.8729,1.37312,41.2971,2.07846
7571,48.3538,11.7861,50.0333,8.57056
7546,40.4719,-3.56264,41.8003,12.2389
7406,40.4719,-3.56264,51.4775,-0.461389
7254,46.2381,6.10895,51.4775,-0.461389
7251,38.7813,-9.13592,48.7231,2.35944
7178,50.0333,8.57056,53.6304,9.98823
7088,41.8003,12.2389,45.4494,9.2783
6885,53.3537,-2.27495,53.4213,-6.27007
6825,40.4719,-3.56264,41.2356,-8.67806
6784,48.3538,11.7861,51.4775,-0.461389
6670,49.0097,2.54778,52.3086,4.76389
6648,47.4647,8.54917,51.4775,-0.461389
6590,48.3538,11.7861,52.3514,13.4939
6568,38.7813,-9.13592,41.2356,-8.67806
6524,41.2971,2.07846,41.8003,12.2389
6508,48.3538,11.7861,52.3086,4.76389
6435,41.2971,2.07846,51.1481,-0.190278
6372,40.4719,-3.56264,50.9014,4.48444
6314,41.2971,2.07846,49.0097,2.54778
6256,50.0333,8.57056,52.3086,4.76389
6235,41.2356,-8.67806,48.7231,2.35944
6168,40.4719,-3.56264,50.0333,8.57056
6168,48.1103,16.5697,50.0333,8.57056
6131,39.5517,2.73881,50.8659,7.14274
6096,38.8729,1.37312,40.4719,-3.56264
6063,49.0097,2.54778,50.0333,8.57056
6061,40.4719,-3.56264,52.3086,4.76389
6016,38.7813,-9.13592,41.2971,2.07846
6011,51.885,0.235,53.4213,-6.27007
5996,47.4647,8.54917,52.3086,4.76389
5964,38.7813,-9.13592,51.4775,-0.461389
5823,41.2971,2.07846,45.6306,8.72811
5790,52.4539,-1.74803,53.4213,-6.27007
5756,49.0097,2.54778,51.4775,-0.461389
5751,60.3172,24.9633,64.9301,25.3546
5723,40.4719,-3.56264,48.3538,11.7861
5700,41.8003,12.2389,52.3086,4.76389
5649,40.4719,-3.56264,49.0097,2.54778
5628,52.3086,4.76389,52.3514,13.4939
5581,48.3538,11.7861,49.0097,2.54778
5470,60.1939,11.1004,67.2692,14.3653
5437,51.5053,0.055278,52.3086,4.76389
5420,45.6306,8.72811,49.0097,2.54778
5366,41.2971,2.07846,48.7231,2.35944
5352,59.4133,24.8328,60.3172,24.9633
5273,35.1547,33.4961,40.8986,29.3092
5270,52.3086,4.76389,53.3537,-2.27495
5268,49.0097,2.54778,55.6179,12.656
5255,51.4775,-0.461389,55.6179,12.656
5255,43.4393,5.22142,48.7231,2.35944
5238,38.7813,-9.13592,52.3086,4.76389
5189,37.418,-5.89311,41.2971,2.07846
5148,47.4647,8.54917,50.0333,8.57056
5119,47.4647,8.54917,52.3514,13.4939
5091,53.4213,-6.27007,55.95,-3.3725
5091,51.4775,-0.461389,59.6519,17.9186
5067,51.4775,-0.461389,55.95,-3.3725
5066,47.4647,8.54917,48.1103,16.5697
5062,52.3086,4.76389,59.6519,17.9186
5021,48.3538,11.7861,50.8659,7.14274
4998,39.5517,2.73881,52.3514,13.4939
4991,41.8003,12.2389,49.0097,2.54778
4969,39.5517,2.73881,53.6304,9.98823
4964,39.5517,2.73881,39.8626,4.21865
4881,55.5979,37.2709,59.8003,30.2625
4848,55.5346,13.3704,59.3556,17.9436
4844,51.4775,-0.461389,55.8719,-4.43306
4831,50.9014,4.48444,51.4775,-0.461389
4807,46.2381,6.10895,52.3086,4.76389
4800,39.5517,2.73881,50.0333,8.57056
4793,52.3086,4.76389,60.1939,11.1004
4743,43.6291,1.36382,49.0097,2.54778
4736,41.2971,2.07846,50.0333,8.57056
4717,57.6628,12.2798,59.6519,17.9186
4641,48.1103,16.5697,52.3086,4.76389
4613,50.8659,7.14274,52.3514,13.4939
4591,43.6584,7.21587,49.0097,2.54778
4569,50.0777,19.7848,52.1657,20.9671
4556,49.0097,2.54778,52.3514,13.4939
4550,41.2971,2.07846,50.9014,4.48444
4531,55.6179,12.656,60.3172,24.9633
4516,51.4239,12.2364,52.8311,-1.32806
4481,51.1481,-0.190278,52.3086,4.76389
4480,39.5517,2.73881,47.4647,8.54917
4448,45.4494,9.2783,52.3086,4.76389
4433,41.2971,2.07846,48.3538,11.7861
4432,48.1103,16.5697,49.0097,2.54778
4417,49.0097,2.54778,53.4213,-6.27007
4394,39.5517,2.73881,48.3538,11.7861
4375,45.4494,9.2783,50.0333,8.57056
4343,47.4647,8.54917,48.3538,11.7861
4341,41.8003,12.2389,51.4775,-0.461389
4309,46.2381,6.10895,47.4647,8.54917
4274,40.4719,-3.56264,51.1481,-0.190278
4265,43.4393,5.22142,49.0097,2.54778
4238,45.4494,9.2783,49.0097,2.54778
4232,49.0097,2.54778,60.3172,24.9633
4193,41.8003,12.2389,48.7231,2.35944
4192,40.4719,-3.56264,47.4647,8.54917
4187,51.5053,0.055278,55.95,-3.3725
4175,48.1103,16.5697,51.4775,-0.461389
4148,50.0333,8.57056,50.9014,4.48444
4130,41.1389,16.7606,45.4494,9.2783
4115,40.4719,-3.56264,45.6306,8.72811
4115,40.8986,29.3092,51.885,0.235
4093,46.2381,6.10895,49.0097,2.54778
4089,48.1103,16.5697,48.3538,11.7861
4080,33.3675,-7.58997,48.7231,2.35944
4075,48.3538,11.7861,50.9014,4.48444
4057,39.5517,2.73881,51.1481,-0.190278
4041,44.8283,-0.715556,49.0097,2.54778
4030,52.1657,20.9671,52.3086,4.76389
4026,49.0097,2.54778,52.1657,20.9671
4013,32.0114,34.8867,40.8986,29.3092
4004,38.2822,-0.558156,53.3537,-2.27495
4004,45.6306,8.72811,51.4239,12.2364
3997,39.5517,2.73881,53.3537,-2.27495
3995,46.2381,6.10895,51.1481,-0.190278
3973,53.4213,-6.27007,55.8719,-4.43306
3960,45.5053,12.3519,49.0097,2.54778
3957,58.8767,5.63778,60.1939,11.1004
3946,41.2356,-8.67806,46.2381,6.10895
3936,41.1389,16.7606,41.8003,12.2389
3931,41.2971,2.07846,51.4775,-0.461389
3930,46.2381,6.10895,50.9014,4.48444
3916,37.0144,-7.96591,51.1481,-0.190278
3903,48.1103,16.5697,52.3514,13.4939
3896,41.8003,12.2389,50.9014,4.48444
3878,47.4647,8.54917,53.6304,9.98823
3854,45.4494,9.2783,51.4775,-0.461389
3830,50.0333,8.57056,53.4213,-6.27007
3830,51.4775,-0.461389,60.1939,11.1004
3810,45.6306,8.72811,51.1481,-0.190278
3805,38.7813,-9.13592,46.2381,6.10895
3771,51.2895,6.76678,51.4775,-0.461389
3769,55.4102,37.902,59.8003,30.2625
3768,39.5517,2.73881,48.6899,9.22196
3766,40.4719,-3.56264,46.2381,6.10895
3764,48.1103,16.5697,50.9014,4.48444
3753,41.8003,12.2389,48.3538,11.7861
3726,52.3086,4.76389,52.4539,-1.74803
3722,49.6233,6.20444,51.5053,0.055278
3704,50.0333,8.57056,52.1657,20.9671
3698,39.8626,4.21865,41.2971,2.07846
3695,52.1657,20.9671,54.3776,18.4662
3688,41.2971,2.07846,47.4647,8.54917
3670,38.7813,-9.13592,50.0333,8.57056
3665,32.0114,34.8867,34.8751,33.6249
3649,38.2822,-0.558156,51.1481,-0.190278
3603,52.3086,4.76389,60.3172,24.9633
3601,50.0333,8.57056,55.6179,12.656
3592,48.1103,16.5697,53.6304,9.98823
3582,47.4647,8.54917,51.5053,0.055278
3578,49.0097,2.54778,59.6519,17.9186
3560,51.8747,-0.368333,52.3086,4.76389
3555,48.1103,16.5697,51.2895,6.76678
