city1,pt1_lat,pt1_lon,city2,pt2_lat,pt2_lon,count
Jeju International,33.5113,126.493,Seoul Gimpo International,37.5583,126.7906,16068983
Sapporo New Chitose Apt,42.7752,141.6923,Tokyo Intl (Haneda),35.5494,139.7798,10216765
Fukuoka,33.5859,130.4517,Tokyo Intl (Haneda),35.5494,139.7798,9894296
Hanoi,21.2187,105.8042,Ho Chi Minh City,10.8188,106.652,8562009
Jeddah,21.6796,39.1565,Riyadh King Khalid Intl,24.9576,46.6988,7371119
Melbourne Airport,-37.6733,144.843,Sydney Kingsford Smith Apt,-33.9399,151.1753,6996156
Mumbai,19.0896,72.8656,Delhi,28.5562,77.1,6941947
Tokyo Intl (Haneda),35.5494,139.7798,Okinawa Naha Apt,26.2072,127.6462,6910809
Jakarta Soekarno-Hatta Apt,-6.1256,106.6559,Denpasar-Bali,-8.7482,115.1675,6741923
Beijing Capital Intl Apt,40.0801,116.5846,Shanghai Hongqiao Intl Apt,31.1979,121.3363,6321194
