city1,pt1_lat,pt1_lon,city2,pt2_lat,pt2_lon,count,,,
Jeju International,33.5113,126.493,Seoul Gimpo,37.5583,126.7906,13728786,,,
Sapporo New Chitose,42.7752,141.6923,Tokyo Haneda,35.5494,139.7798,11936302,,,
Fukuoka,33.5859,130.4517,Tokyo Haneda,35.5494,139.7798,11264229,,,
Hanoi,21.2187,105.8042,Ho Chi Minh City,10.8188,106.652,10883555,,,
Melbourne,-37.6733,144.843,Sydney,-33.9399,151.1753,9342312,,,
Beijing,40.0801,116.5846,Shanghai Hongqiao,31.1979,121.3363,8355225,,,
Tokyo Haneda,35.5494,139.7798,Okinawa Naha,26.2072,127.6462,7982218,,,
Jeddah,21.6796,39.1565,Riyadh,24.9576,46.6988,7902142,,,
Mumbai,19.0896,72.8656,Delhi,28.5562,77.1,7276430,,,
Jakarta,-6.1256,106.6559,Denpasar,-8.7482,115.1675,7190961,,,Bali
